model,task_id,role,score,method,reason
granite-4.0-h-tiny-Q8_0,P04,PPT,100.0,objective,필수개념 2/2
granite-4.0-h-tiny-Q8_0,R01,Research,100.0,objective,필수개념 3/3
granite-4.0-h-tiny-Q8_0,R02,Research,50.0,objective,필수개념 2/4
granite-4.0-h-tiny-Q8_0,R03,Research,40.0,hybrid,"Hybrid: 자동검증 45.0점 × 50% + Judge 45.0점 × 50%, 실패한 핵심조건 상한 40.0점. Judge: 센서 B가 요구조건을 모두 만족한다고 판단하여 탈락 센서를 적합하다고 판단하는 역방향 주장이 포함되어 중대 오류."
granite-4.0-h-tiny-Q8_0,R04,Research,55.0,objective,"필수개념 3/4, 추측항목 포함 ['냉각팬'] → -20"
granite-4.0-h-tiny-Q8_0,W01,Writer,67.25,hybrid,"Hybrid: 자동검증 70.0점 × 45% + Judge 65.0점 × 55%, 실패한 핵심조건 상한 80.0점. Judge: 필수 수치와 기간은 포함되었으나, 분량이 310자로 과다하고 '매우 낮은 수치' 등 과장된 표현이 포함되어 감점됨."
granite-4.0-h-tiny-Q8_0,W02,Writer,91.75,hybrid,"Hybrid: 자동검증 100.0점 × 45% + Judge 85.0점 × 55%. Judge: 3문장으로 구성되어 자동검증 PASS. 전문용어를 풀이해 설명했으나, 일부 문장이 복잡하고 비전공자에게 완벽히 명확하지 않은 표현이 있음."
granite-4.0-h-tiny-Q8_0,W03,Writer,58.0,hybrid,"Hybrid: 자동검증 70.0점 × 40% + Judge 50.0점 × 60%, 실패한 핵심조건 상한 80.0점. Judge: 예산과 정확도 우선 시 권고를 구분했으나, 비용/정확도/기간 수치가 정확히 반영되지 않았음. 특히 B안의 연간 유지비가 A안보다 높은데도 'B안의 연간 유지비도 높아'라는 표현이 잘못됨."
granite-4.0-h-tiny-Q8_0,W04,Writer,91.0,hybrid,"Hybrid: 자동검증 100.0점 × 40% + Judge 85.0점 × 60%. Judge: 원인 미확정, 담당 구분, 금요일 재점검을 모두 포함했으나, 공식 문체보다는 보고서 스타일로 작성되어 약간의 형식 오류가 있음."
granite-4.0-micro-Q4_K_M,C01,Coding,50.0,objective,필수개념 1/2
granite-4.0-micro-Q4_K_M,C02,Coding,66.66666666666667,objective,필수개념 2/3
granite-4.0-micro-Q4_K_M,C03,Coding,100.0,objective,필수개념 5/5
granite-4.0-micro-Q4_K_M,C04,Coding,100.0,objective,"유효 알고리즘=PASS(seen set + append/add), 평균 O(n) 설명=PASS"
granite-4.0-micro-Q4_K_M,C05,Coding,100.0,objective,필수개념 3/3
granite-4.0-micro-Q4_K_M,K01,Critic,50.0,objective,필수개념 1/2
granite-4.0-micro-Q4_K_M,K02,Critic,100.0,objective,필수개념 4/4
granite-4.0-micro-Q4_K_M,K03,Critic,82.0,hybrid,"Hybrid: 자동검증 88.0점 × 50% + Judge 76.0점 × 50%. Judge: 응답은 두 가지 모순을 지적했으나, 첫 번째 모순에 대한 구체적인 수치 설명(예: 7월 1일~31일은 약 4주)이 부족해 자동 검증에서 FAIL로 표시된 항목에 대해 충분히 반영되지 않았다."
granite-4.0-micro-Q4_K_M,K04,Critic,50.0,hybrid,"Hybrid: 자동검증 50.0점 × 55% + Judge 50.0점 × 45%, 실패한 핵심조건 상한 60.0점. Judge: SQL Injection 문제는 정확히 지적했으나, 하드코딩된 비밀번호 문제를 명시적으로 제시하지 않았고, 추가로 제시한 비밀번호 암호화 및 인증 로직은 원래 문제와 직접적인 관련이 없어 불필요하게 확장됨"
granite-4.0-micro-Q4_K_M,K05,Critic,97.5,hybrid,"Hybrid: 자동검증 100.0점 × 50% + Judge 95.0점 × 50%. Judge: 자동 검증 결과 모든 항목이 충족되었으며, 문제 제기 방식도 명확하고 논리적이다. 다만 '보장'이라는 표현에 대한 비판은 약간 부족한 면이 있어 완벽하지는 않다."
granite-4.0-micro-Q4_K_M,D01,Data,0.0,objective,"기대값 86.0, 추출값 [20.0, 80.0, 1600.0, 30.0, 90.0, 2700.0, 1600.0, 2700.0, 50.0, 5300.0]"
granite-4.0-micro-Q4_K_M,D02,Data,100.0,objective,수치정답 2/2
granite-4.0-micro-Q4_K_M,D03,Data,100.0,objective,정답 0.2687 발견
granite-4.0-micro-Q4_K_M,D04,Data,100.0,objective,"line 기준 groupby=PASS, defect_rate 평균=PASS, 집계 평균 > 0.03 필터=PASS, 집계값 내림차순 정렬=PASS"
granite-4.0-micro-Q4_K_M,D05,Data,50.0,objective,수치정답 1/2
granite-4.0-micro-Q4_K_M,P01,PPT,65.0,hybrid,"Hybrid: 자동검증 65.0점 × 45% + Judge 65.0점 × 55%, 실패한 핵심조건 상한 75.0점. Judge: 슬라이드 수가 7장으로 요구사항을 위반하여 감점되었으며, 다른 항목은 기본적으로 충족되어 있다."
granite-4.0-micro-Q4_K_M,P02,PPT,80.0,hybrid,Hybrid: 자동검증 80.0점 × 35% + Judge 80.0점 × 65%. Judge: 차트 유형과 제목은 적절하며 파일럿 정보는 명시됨. 그러나 5.2%와 4.8%의 수치가 차트에서 강조 문장에 포함되지 않아 자동 검증 결과에 따라 감점.
granite-4.0-micro-Q4_K_M,P03,PPT,62.0,hybrid,"Hybrid: 자동검증 62.0점 × 45% + Judge 62.0점 × 55%, 실패한 핵심조건 상한 70.0점. Judge: 총 5장이지만 각 슬라이드에 핵심 내용이 2개씩 작성되지 않음. VRAM과 양자화 설명은 정확하지만, 멀티에이전트 역할배치 이유 연결이 부족함."
granite-4.0-micro-Q4_K_M,P04,PPT,50.0,objective,필수개념 1/2
granite-4.0-micro-Q4_K_M,R01,Research,100.0,objective,필수개념 3/3
granite-4.0-micro-Q4_K_M,R02,Research,50.0,objective,필수개념 2/4
granite-4.0-micro-Q4_K_M,R03,Research,40.0,hybrid,"Hybrid: 자동검증 55.0점 × 50% + Judge 55.0점 × 50%, 실패한 핵심조건 상한 40.0점. Judge: 센서 B가 요구조건을 모두 만족한다고 잘못 판단하여 중대 오류. 자동검증 결과에 따라 감점이 적용됨."
granite-4.0-micro-Q4_K_M,R04,Research,100.0,objective,필수개념 4/4
granite-4.0-micro-Q4_K_M,W01,Writer,62.0,hybrid,"Hybrid: 자동검증 62.0점 × 45% + Judge 62.0점 × 55%, 실패한 핵심조건 상한 80.0점. Judge: 필수 사실 중 '한 개 라인에서만 검증'이 누락되어 감점되었으며, 자동검증 결과에 따라 총 감점이 적용됨."
granite-4.0-micro-Q4_K_M,W02,Writer,97.25,hybrid,"Hybrid: 자동검증 100.0점 × 45% + Judge 95.0점 × 55%. Judge: 3문장으로 정확히 구성되었고, 전문 용어를 비전공자가 이해할 수 있도록 쉽게 설명함. 의미 훼손 없음."
granite-4.0-micro-Q4_K_M,W03,Writer,91.0,hybrid,"Hybrid: 자동검증 100.0점 × 40% + Judge 85.0점 × 60%. Judge: 비용/정확도/기간 수치를 정확히 반영하고 예산과 정확도 우선 권고를 구분했으나, 트레이드오프에 대한 설명이 부족하며 단일결론처럼 느껴지는 표현이 있다."
granite-4.0-micro-Q4_K_M,W04,Writer,70.0,hybrid,"Hybrid: 자동검증 70.0점 × 40% + Judge 70.0점 × 60%, 실패한 핵심조건 상한 80.0점. Judge: 원인 미확정과 담당 구분은 유지되었으나, 금요일 재점검 내용이 약간 과도하게 표현되어 자수 초과로 감점됨. 공식 문체는 준수했으나, 추가 정보가 포함된 느낌이 있음."
granite-4.0-micro-Q8_0,C01,Coding,100.0,objective,필수개념 2/2
granite-4.0-micro-Q8_0,C02,Coding,100.0,objective,필수개념 3/3
granite-4.0-micro-Q8_0,C03,Coding,100.0,objective,필수개념 5/5
granite-4.0-micro-Q8_0,C04,Coding,100.0,objective,"유효 알고리즘=PASS(seen set + append/add), 평균 O(n) 설명=PASS"
granite-4.0-micro-Q8_0,C05,Coding,100.0,objective,필수개념 3/3
granite-4.0-micro-Q8_0,K01,Critic,0.0,objective,필수개념 0/2
granite-4.0-micro-Q8_0,K02,Critic,100.0,objective,필수개념 4/4
granite-4.0-micro-Q8_0,K03,Critic,97.5,hybrid,"Hybrid: 자동검증 100.0점 × 50% + Judge 95.0점 × 50%. Judge: 모순이 있는 두 가지 요소를 정확히 지적했으며, 각 모순의 수치적 충돌을 구체적으로 설명함. 자동 검증 결과와도 일치하며, 오류가 거의 없음."
granite-4.0-micro-Q8_0,K04,Critic,50.0,hybrid,"Hybrid: 자동검증 50.0점 × 55% + Judge 50.0점 × 45%, 실패한 핵심조건 상한 60.0점. Judge: 하드코딩된 비밀번호 문제는 식별했으나, 자동검증 결과에 따라 이 항목은 '요구 의미 패턴 미검출'로 처리되어 감점됨. SQL Injection 문제는 정확히 지적하고 수정 방안도 제시함."
granite-4.0-micro-Q8_0,K05,Critic,97.5,hybrid,"Hybrid: 자동검증 100.0점 × 50% + Judge 95.0점 × 50%. Judge: 3가지 비판 항목 모두 자동검증 결과와 일치하며, 명확하고 논리적인 설명을 제공함. 다만 '모든 제조현장'에 대한 외적 타당성 문제를 구체적으로 언급하지는 않았으나, 범위 및 일반화의 한계 항목에서 충분히 반영됨."
granite-4.0-micro-Q8_0,D01,Data,100.0,objective,정답 86.0 발견
granite-4.0-micro-Q8_0,D02,Data,100.0,objective,수치정답 2/2
granite-4.0-micro-Q8_0,D03,Data,0.0,objective,"기대값 0.2687, 추출값 [0.02, 0.9, 0.05, 1.0, 0.95, 1.0, 0.98, 0.9, 0.02, 0.95]"
granite-4.0-micro-Q8_0,D04,Data,100.0,objective,"line 기준 groupby=PASS, defect_rate 평균=PASS, 집계 평균 > 0.03 필터=PASS, 집계값 내림차순 정렬=PASS"
granite-4.0-micro-Q8_0,D05,Data,100.0,objective,수치정답 2/2
granite-4.0-micro-Q8_0,P01,PPT,91.75,hybrid,"Hybrid: 자동검증 100.0점 × 45% + Judge 85.0점 × 55%. Judge: 6장 구성 및 흐름(문제→근거→대안→결정)은 준수되었으나, 일부 슬라이드의 핵심 메시지가 다소 모호하고 경영진 관점에서의 구체적 이익 설명이 부족함."
granite-4.0-micro-Q8_0,P02,PPT,80.0,hybrid,"Hybrid: 자동검증 80.0점 × 35% + Judge 80.0점 × 65%. Judge: 차트 유형과 제목은 적절하며, 파일럿 정보는 명시됨. 그러나 5.2%와 4.8%의 수치가 차트에 표기되지 않아 자동검증에서 누락되었음."
granite-4.0-micro-Q8_0,P03,PPT,62.0,hybrid,"Hybrid: 자동검증 62.0점 × 45% + Judge 62.0점 × 55%, 실패한 핵심조건 상한 70.0점. Judge: 총 5장이지만 슬라이드별 핵심 내용이 2개 미만으로 제시되어 자동검증 FAIL. VRAM과 양자화 설명은 정확하지만, 멀티에이전트 배치 이유 연결이 부족함."
granite-4.0-micro-Q8_0,P04,PPT,50.0,objective,필수개념 1/2
granite-4.0-micro-Q8_0,R01,Research,100.0,objective,필수개념 3/3
granite-4.0-micro-Q8_0,R02,Research,50.0,objective,필수개념 2/4
granite-4.0-micro-Q8_0,R03,Research,40.0,hybrid,"Hybrid: 자동검증 45.0점 × 50% + Judge 45.0점 × 50%, 실패한 핵심조건 상한 40.0점. Judge: 센서 B가 요구조건을 모두 만족한다고 판단하여 탈락 센서를 적합하다고 판단하는 역방향 주장이 포함되어 중대 오류."
granite-4.0-micro-Q8_0,R04,Research,100.0,objective,필수개념 4/4
granite-4.0-micro-Q8_0,W01,Writer,84.0,hybrid,"Hybrid: 자동검증 84.0점 × 45% + Judge 84.0점 × 55%. Judge: 필수 사실 중 '한 개 라인에서만 검증'과 '향후 다른 라인 검증 필요'가 누락되어 감점됨. 나머지 핵심 수치와 기간은 정확히 포함되었으며, 보고서 문체 및 분량도 적절함."
granite-4.0-micro-Q8_0,W02,Writer,70.0,hybrid,"Hybrid: 자동검증 70.0점 × 45% + Judge 70.0점 × 55%, 실패한 핵심조건 상한 80.0점. Judge: 3문장이 아닌 4문장을 사용하여 자동검증에서 FAIL을 받았음. 다른 요소는 비전공자 친화적이고 의미를 훼손하지 않았으나, 문장 수 준수 실패로 인해 감점."
granite-4.0-micro-Q8_0,W03,Writer,36.0,hybrid,"Hybrid: 자동검증 30.0점 × 40% + Judge 40.0점 × 60%, 실패한 핵심조건 상한 70.0점. Judge: 예산 우선과 정확도 우선 권고를 구분하지 못했으며, 요구된 의미 패턴('예산 우선 시 B안', '정확도 우선 시 A안')을 충족하지 못함. 또한, 트레이드오프 설명이 부재하고 단일결론처럼 보임."
granite-4.0-micro-Q8_0,W04,Writer,70.0,hybrid,"Hybrid: 자동검증 70.0점 × 40% + Judge 70.0점 × 60%, 실패한 핵심조건 상한 80.0점. Judge: 원인 미확정과 담당 구분은 유지되었으나, '지속적인 조사' 등 원래 메모에 없는 내용이 추가되어 감점됨. 또한 자동검증에서 지적된 글자 수 초과(253자)로 인해 기본 점수에서 30점을 감점함."
internlm3-8b-instruct-Q4_K_M,C01,Coding,100.0,objective,필수개념 2/2
internlm3-8b-instruct-Q4_K_M,C02,Coding,100.0,objective,필수개념 3/3
internlm3-8b-instruct-Q4_K_M,C03,Coding,100.0,objective,필수개념 5/5
internlm3-8b-instruct-Q4_K_M,C04,Coding,100.0,objective,"유효 알고리즘=PASS(dict/OrderedDict.fromkeys), 평균 O(n) 설명=PASS"
internlm3-8b-instruct-Q4_K_M,C05,Coding,66.66666666666667,objective,필수개념 2/3
internlm3-8b-instruct-Q4_K_M,K01,Critic,50.0,objective,필수개념 1/2
internlm3-8b-instruct-Q4_K_M,K02,Critic,100.0,objective,필수개념 4/4
internlm3-8b-instruct-Q4_K_M,K03,Critic,92.5,hybrid,"Hybrid: 자동검증 100.0점 × 50% + Judge 85.0점 × 50%. Judge: 모순을 정확히 지적하고 수치 계산도 올바르게 수행했으나, '6주 = 42일'이라는 표현은 주간 단위의 약한 개념(예: 1주=7일)에 기반한 것이므로, 엄밀하게는 '6주 = 42일'이 아니라 '약 6주'로 표현하는 것이 더 정확할 수 있음."
internlm3-8b-instruct-Q4_K_M,K04,Critic,100.0,hybrid,"Hybrid: 자동검증 100.0점 × 55% + Judge 100.0점 × 45%. Judge: 자동 검증 결과와 평가기준 모두 충족하며, 문제 두 가지를 명확히 식별하고 수정 방향을 구체적으로 제시함."
internlm3-8b-instruct-Q4_K_M,K05,Critic,92.5,hybrid,"Hybrid: 자동검증 100.0점 × 50% + Judge 85.0점 × 50%. Judge: 응답은 자동검증 결과에 따라 PASS한 항목을 충족했으며, 여러 관점에서 문제를 잘 지적했다. 다만 '91.7%'가 11/12의 계산결과와 일치하지 않는다는 점은 명시되지 않았고, 일부 표현이 중복되어 다소 비효율적인 구성이다."
internlm3-8b-instruct-Q4_K_M,D01,Data,100.0,objective,정답 86.0 발견
internlm3-8b-instruct-Q4_K_M,D02,Data,100.0,objective,수치정답 2/2
internlm3-8b-instruct-Q4_K_M,D03,Data,0.0,objective,"기대값 0.2687, 추출값 [0.8472]"
internlm3-8b-instruct-Q4_K_M,D04,Data,100.0,objective,"line 기준 groupby=PASS, defect_rate 평균=PASS, 집계 평균 > 0.03 필터=PASS, 집계값 내림차순 정렬=PASS"
internlm3-8b-instruct-Q4_K_M,D05,Data,100.0,objective,수치정답 2/2
internlm3-8b-instruct-Q4_K_M,P01,PPT,91.75,hybrid,"Hybrid: 자동검증 100.0점 × 45% + Judge 85.0점 × 55%. Judge: 6장 구성 및 흐름은 준수했으나, 일부 슬라이드 제목과 메시지가 모호하거나 경영진 관점에서의 구체적 이익 설명이 부족함."
internlm3-8b-instruct-Q4_K_M,P02,PPT,90.25,hybrid,"Hybrid: 자동검증 100.0점 × 35% + Judge 85.0점 × 65%. Judge: 차트 유형과 제목은 적절하며, 파일럿 라인임을 명시한 주석도 충족. 그러나 강조 문장에서 '파일럿 라인의 불량율이 크게 감소합니다'라는 표현은 과도한 인과성을 암시할 수 있어, 평가기준 중 '과도한 인과 주장 없음'에 약간 부합하지 않음."
internlm3-8b-instruct-Q4_K_M,P03,PPT,60.0,hybrid,"Hybrid: 자동검증 60.0점 × 45% + Judge 60.0점 × 55%, 실패한 핵심조건 상한 80.0점. Judge: 각 슬라이드당 핵심 내용이 4개로 요구사항(2개)을 초과하여 자동검증에서 여러 번 실패함. 개념 순서는 자연스럽지만, 실질적 핵심 내용 수가 부족해 채점 감점됨."
internlm3-8b-instruct-Q4_K_M,P04,PPT,100.0,objective,필수개념 2/2
internlm3-8b-instruct-Q4_K_M,R01,Research,100.0,objective,필수개념 3/3
internlm3-8b-instruct-Q4_K_M,R02,Research,100.0,objective,필수개념 4/4
internlm3-8b-instruct-Q4_K_M,R03,Research,80.0,hybrid,"Hybrid: 자동검증 80.0점 × 50% + Judge 80.0점 × 50%. Judge: 센서 A와 B 모두 요구조건을 만족하지 못하는 결론은 올바르지만, 센서 A의 샘플링 속도(10Hz)가 요구사항(20Hz 이상)에 미달한다는 점이 누락되어 감점됨"
internlm3-8b-instruct-Q4_K_M,R04,Research,100.0,objective,필수개념 4/4
internlm3-8b-instruct-Q4_K_M,W01,Writer,62.0,hybrid,"Hybrid: 자동검증 62.0점 × 45% + Judge 62.0점 × 55%, 실패한 핵심조건 상한 80.0점. Judge: 필수 사실 중 '한 개 라인에서만 검증'이 명시되었으나, '향후 다른 라인 검증 필요'는 약간의 간접적 표현으로 처리되어 명확성 부족. 글자 수는 적절하지만, 내용 전달력과 구체성이 다소 부족함."
internlm3-8b-instruct-Q4_K_M,W02,Writer,97.25,hybrid,"Hybrid: 자동검증 100.0점 × 45% + Judge 95.0점 × 55%. Judge: 3문장으로 정확히 구성되었고, 전문 용어를 비전공자도 이해할 수 있도록 쉽게 설명함. '고차원 공간'과 '벡터 표현'을 간단히 풀이해 주었으며, 의미는 훼손되지 않음."
internlm3-8b-instruct-Q4_K_M,W03,Writer,67.0,hybrid,"Hybrid: 자동검증 70.0점 × 40% + Judge 65.0점 × 60%, 실패한 핵심조건 상한 80.0점. Judge: 예산과 정확도 우선 권고는 구분했으나, 트레이드오프 설명이 부족하고, 분량이 과다하여 자동검증에서 감점됨. 내용의 간결성과 핵심 요소 반영에 한계가 있음."
internlm3-8b-instruct-Q4_K_M,W04,Writer,97.0,hybrid,"Hybrid: 자동검증 100.0점 × 40% + Judge 95.0점 × 60%. Judge: 원인 미확정, 담당 구분, 금요일 재점검을 모두 충족했으나, 공식 문체보다는 문서 형식에 가까워 약간의 표현 개선이 필요함."
internlm3-8b-instruct-Q6_K,C01,Coding,100.0,objective,필수개념 2/2
internlm3-8b-instruct-Q6_K,C02,Coding,100.0,objective,필수개념 3/3
internlm3-8b-instruct-Q6_K,C03,Coding,100.0,objective,필수개념 5/5
internlm3-8b-instruct-Q6_K,C04,Coding,100.0,objective,"유효 알고리즘=PASS(seen set + append/add), 평균 O(n) 설명=PASS"
internlm3-8b-instruct-Q6_K,C05,Coding,100.0,objective,필수개념 3/3
internlm3-8b-instruct-Q6_K,K01,Critic,50.0,objective,필수개념 1/2
internlm3-8b-instruct-Q6_K,K02,Critic,100.0,objective,필수개념 4/4
internlm3-8b-instruct-Q6_K,K03,Critic,88.0,hybrid,"Hybrid: 자동검증 88.0점 × 50% + Judge 88.0점 × 50%. Judge: 모순을 정확히 지적하고 수치 기반으로 설명했으나, '약 4주' 또는 '30일'과 같은 표현이 자동검증에서 요구된 '4주 | 약 4주 | 30일 | 한 달'에 해당하지 않아 일부 감점됨."
internlm3-8b-instruct-Q6_K,K04,Critic,100.0,hybrid,"Hybrid: 자동검증 100.0점 × 55% + Judge 100.0점 × 45%. Judge: 자동 검증 결과와 평가기준 모두 충족하며, 문제 제시 및 수정 방향이 명확하고 정확하게 설명됨."
internlm3-8b-instruct-Q6_K,K05,Critic,97.5,hybrid,"Hybrid: 자동검증 100.0점 × 50% + Judge 95.0점 × 50%. Judge: 3가지 비판 항목 모두 자동 검증 결과와 일치하며, 문제를 명확하고 논리적으로 지적함. 다만 '모든 제조현장'에 대한 외적 타당성 문제는 약간 더 구체적인 언급이 가능했을 수 있으나, 전체적으로 충분히 적절하게 반영됨."
internlm3-8b-instruct-Q6_K,D01,Data,0.0,objective,"기대값 86.0, 추출값 [20.0, 80.0, 20.0, 80.0, 1600.0, 30.0, 90.0, 30.0, 90.0, 2700.0]"
internlm3-8b-instruct-Q6_K,D02,Data,100.0,objective,수치정답 2/2
internlm3-8b-instruct-Q6_K,D03,Data,100.0,objective,정답 0.2687 발견
internlm3-8b-instruct-Q6_K,D04,Data,100.0,objective,"line 기준 groupby=PASS, defect_rate 평균=PASS, 집계 평균 > 0.03 필터=PASS, 집계값 내림차순 정렬=PASS"
internlm3-8b-instruct-Q6_K,D05,Data,100.0,objective,수치정답 2/2
internlm3-8b-instruct-Q6_K,P01,PPT,97.25,hybrid,Hybrid: 자동검증 100.0점 × 45% + Judge 95.0점 × 55%. Judge: 6장 구성 및 문제→근거→대안/계획의 흐름 준수. 경영진 관점에서 명확하고 중복 최소화됨. 다만 '표지' 슬라이드 제목이 명시되지 않아 소량 감점.
internlm3-8b-instruct-Q6_K,P02,PPT,90.25,hybrid,"Hybrid: 자동검증 100.0점 × 35% + Judge 85.0점 × 65%. Judge: 차트 유형과 제목은 적절하며 파일럿 정보도 명확히 표시됨. 그러나 하단 주석에 과도한 인과 주장(예: '관리 강화', '사용자 만족도')이 포함되어 평가기준 위반."
internlm3-8b-instruct-Q6_K,P03,PPT,97.25,hybrid,"Hybrid: 자동검증 100.0점 × 45% + Judge 95.0점 × 55%. Judge: 5장 구조 충족, 핵심 내용 정확하고 실질적 설명 포함. VRAM과 양자화에 대한 설명이 정확하며, 멀티에이전트 배치 이유도 명확히 연결됨. 다만 '로컬 LLM과 클라우드 LLM의 차이' 슬라이드에서 핵심 1이 중복되어 약간의 개선 여지가 있음."
internlm3-8b-instruct-Q6_K,P04,PPT,100.0,objective,필수개념 2/2
internlm3-8b-instruct-Q6_K,R01,Research,100.0,objective,필수개념 3/3
internlm3-8b-instruct-Q6_K,R02,Research,100.0,objective,필수개념 4/4
internlm3-8b-instruct-Q6_K,R03,Research,40.0,hybrid,"Hybrid: 자동검증 45.0점 × 50% + Judge 45.0점 × 50%, 실패한 핵심조건 상한 40.0점. Judge: 탈락 센서를 적합하다고 판단하는 역방향 주장이 존재함. 또한, 센서 A의 측정범위 미달 사유가 누락되었음."
internlm3-8b-instruct-Q6_K,R04,Research,100.0,objective,필수개념 4/4
internlm3-8b-instruct-Q6_K,W01,Writer,62.0,hybrid,"Hybrid: 자동검증 62.0점 × 45% + Judge 62.0점 × 55%, 실패한 핵심조건 상한 80.0점. Judge: 필수 사실 중 '한 개 라인에서만 검증'은 언급되었으나, '향후 다른 라인 검증 필요'는 약간의 과장이 포함된 표현으로 감점. 분량도 초과되어 채점에 영향"
internlm3-8b-instruct-Q6_K,W02,Writer,97.25,hybrid,"Hybrid: 자동검증 100.0점 × 45% + Judge 95.0점 × 55%. Judge: 3문장으로 정확히 구성되었고, 전문 용어를 비전공자가 이해할 수 있도록 쉽게 설명함. 다만 '임베딩'에 대한 보다 명확한 설명이 있으면 더 좋았을 것."
internlm3-8b-instruct-Q6_K,W03,Writer,50.0,hybrid,"Hybrid: 자동검증 50.0점 × 40% + Judge 50.0점 × 60%, 실패한 핵심조건 상한 70.0점. Judge: 예산 우선 시 B안 권고라는 조건을 충족하지 못했으며, 자동검증에서 지적된 '예산 우선 시 B안 권고' 패턴이 누락됨. 또한, 트레이드오프 설명이 부족하고 단일결론처럼 보임."
internlm3-8b-instruct-Q6_K,W04,Writer,97.0,hybrid,"Hybrid: 자동검증 100.0점 × 40% + Judge 95.0점 × 60%. Judge: 원인 미확정, 담당 구분, 금요일 재점검을 모두 충족했으나, 공식 문체보다는 보고서 형식에 가까워 약간의 표현 개선이 필요함."
microsoft_Phi-4-mini-instruct-Q4_K_M,C01,Coding,100.0,objective,필수개념 2/2
microsoft_Phi-4-mini-instruct-Q4_K_M,C02,Coding,100.0,objective,필수개념 3/3
microsoft_Phi-4-mini-instruct-Q4_K_M,C03,Coding,80.0,objective,필수개념 4/5
microsoft_Phi-4-mini-instruct-Q4_K_M,C04,Coding,100.0,objective,"유효 알고리즘=PASS(seen set + append/add), 평균 O(n) 설명=PASS"
microsoft_Phi-4-mini-instruct-Q4_K_M,C05,Coding,66.66666666666667,objective,필수개념 2/3
microsoft_Phi-4-mini-instruct-Q4_K_M,K01,Critic,50.0,objective,필수개념 1/2
microsoft_Phi-4-mini-instruct-Q4_K_M,K02,Critic,100.0,objective,필수개념 4/4
microsoft_Phi-4-mini-instruct-Q4_K_M,K03,Critic,82.0,hybrid,"Hybrid: 자동검증 88.0점 × 50% + Judge 76.0점 × 50%. Judge: 모순이 있는 부분을 지적했으나, '6주간 진행'과 '8주치 데이터'의 시간 범위 충돌에 대한 구체적인 설명이 부족함. 또한 자동검증에서 요구된 '약 4주 | 30일' 등의 표현이 누락되어 감점됨."
microsoft_Phi-4-mini-instruct-Q4_K_M,K04,Critic,50.0,hybrid,"Hybrid: 자동검증 50.0점 × 55% + Judge 50.0점 × 45%, 실패한 핵심조건 상한 60.0점. Judge: 하드코딩된 비밀번호 문제는 식별했으나, 수정 방향에서 '환경변수/Secret 관리'를 언급하지 않아 미준수. SQL Injection은 정확히 지적하고 parameterized query 사용을 제안함."
microsoft_Phi-4-mini-instruct-Q4_K_M,K05,Critic,92.5,hybrid,"Hybrid: 자동검증 100.0점 × 50% + Judge 85.0점 × 50%. Judge: 3가지 비판 항목 중 2개는 자동검증 결과와 일치하지만, '데이터 불일치' 항목은 사실상 '11/12=91.7%'라는 계산 자체를 지적하는 것으로 보이나, 이는 자동검증에서 '틀렸다는 잘못된 주장'이 없다고 명시되어 있어 약간의 오류가 있음."
microsoft_Phi-4-mini-instruct-Q4_K_M,D01,Data,100.0,objective,정답 86.0 발견
microsoft_Phi-4-mini-instruct-Q4_K_M,D02,Data,50.0,objective,수치정답 1/2
microsoft_Phi-4-mini-instruct-Q4_K_M,D03,Data,0.0,objective,"기대값 0.2687, 추출값 [0.91]"
microsoft_Phi-4-mini-instruct-Q4_K_M,D04,Data,100.0,objective,"line 기준 groupby=PASS, defect_rate 평균=PASS, 집계 평균 > 0.03 필터=PASS, 집계값 내림차순 정렬=PASS"
microsoft_Phi-4-mini-instruct-Q4_K_M,D05,Data,100.0,objective,수치정답 2/2
microsoft_Phi-4-mini-instruct-Q4_K_M,P01,PPT,65.0,hybrid,"Hybrid: 자동검증 65.0점 × 45% + Judge 65.0점 × 55%, 실패한 핵심조건 상한 75.0점. Judge: 슬라이드 수가 6장이 아닌 6장으로 표기되어 있으나 실제 내용은 6장이 아님. 자동검증 결과에 따라 35점 감점됨."
microsoft_Phi-4-mini-instruct-Q4_K_M,P02,PPT,70.0,hybrid,"Hybrid: 자동검증 70.0점 × 35% + Judge 70.0점 × 65%. Judge: 차트 유형과 제목은 적절하지만, 5.2%, 4.8%, 3.1% 수치가 모두 누락되어 자동검증에서 실패함. 파일럿 라인임을 명시한 점은 긍정적이지만, 수치 누락으로 인해 정보량이 부족함."
microsoft_Phi-4-mini-instruct-Q4_K_M,P03,PPT,62.0,hybrid,"Hybrid: 자동검증 62.0점 × 45% + Judge 62.0점 × 55%, 실패한 핵심조건 상한 70.0점. Judge: 총 5장이지만 각 슬라이드에 핵심 내용이 2개씩 작성되지 않음. VRAM과 양자화 설명이 부정확하고, 멀티에이전트 배치 이유 연결이 약함."
microsoft_Phi-4-mini-instruct-Q4_K_M,P04,PPT,50.0,objective,필수개념 1/2
microsoft_Phi-4-mini-instruct-Q4_K_M,R01,Research,66.66666666666667,objective,필수개념 2/3
microsoft_Phi-4-mini-instruct-Q4_K_M,R02,Research,75.0,objective,필수개념 3/4
